naam,color
urz2+3,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz2+3+4,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz2+3+4+5,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz3,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz3+4,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz3+4+5,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz4,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz4+5,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz5,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
v,"(0.615686274509804, 0.3058823529411765, 0.25098039215686274)"
va,"(0.08235294117647059, 0.6, 0.30980392156862746)"
vac,"(0.08235294117647059, 0.6, 0.30980392156862746)"
ve,"(0.4, 0.39215686274509803, 0.06274509803921569)"
vec,"(0.0, 0.6078431372549019, 0.0)"
vek#,"(0.0, 0.6078431372549019, 0.0)"
vek1,"(0.0, 0.6078431372549019, 0.0)"
vec,"(0.2823529411764706, 0.21568627450980393, 0.0)"
vevoc,"(0.3607843137254902, 0.3333333333333333, 0.0)"
vewik1,"(0.3215686274509804, 0.27450980392156865, 0.0)"
vezundefined,"(0.4, 0.39215686274509803, 0.06274509803921569)"
vg,"(0.3803921568627451, 0.3803921568627451, 0.3803921568627451)"
vi,"(0.6, 0.4, 0.0)"
vib1,"(0.4823529411764706, 0.2235294117647059, 0.0)"
vib2,"(0.5215686274509804, 0.2823529411764706, 0.0)"
vus,"(0.5490196078431373, 0.7058823529411765, 1.0)"
wa,"(1.0, 0.8, 0.0)"
wak1,"(0.8431372549019608, 0.4117647058823529, 0.0)"
wak2,"(0.8823529411764706, 0.47058823529411764, 0.0)"
wak3,"(0.9215686274509803, 0.5294117647058824, 0.0)"
waz1,"(1.0, 0.8, 0.0)"
waz1+2,"(1.0, 0.8, 0.0)"
waz1+2+3,"(1.0, 0.8, 0.0)"
waz1+2+3+4,"(1.0, 0.8, 0.0)"
waz1+2+3+4+5,"(1.0, 0.8, 0.0)"
waz2,"(1.0, 0.8, 0.0)"
waz2+3,"(1.0, 0.8, 0.0)"
waz2+3+4,"(1.0, 0.8, 0.0)"
waz2+3+4+5,"(1.0, 0.8, 0.0)"
waz3,"(1.0, 0.8, 0.0)"
waz4,"(1.0, 0.8, 0.0)"
waz4+5,"(1.0, 0.8, 0.0)"
waz5,"(1.0, 0.8, 0.0)"
wazundefined,"(1.0, 0.8, 0.0)"
wb,"(0.5372549019607843, 0.2627450980392157, 0.11764705882352941)"
wbv1,"(0.4588235294117647, 0.1450980392156863, 0.0)"
yz,"(0.7843137254901961, 0.7843137254901961, 0.7843137254901961)"
z,"(0.9529411764705882, 0.8823529411764706, 0.023529411764705882)"
zns,"(0.7843137254901961, 0.6705882352941176, 0.21568627450980393)"
